Arabic, عربى
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
Not all of your products are available in the requested quantity.,ليست كل المنتجات الخاصة بك متوفرة بالكمية المطلوبة.
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
The fewest you may purchase is %1.,أقل عدد يمكنك شراؤه هو %1.
Please correct the quantity for some products.,الرجاء تصحيح الكمية لبعض المنتجات.
The most you may purchase is %1.,الحد الأعلى الذي يمكنك شراؤه هو %1.
"We don't have as many ""%1"" as you requested.","ليس لدينا العديد من ""%1"" كما طلبت."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","ليس لدينا العديد من ""%1"" كما طلبت، ولكن سوف نعيد أمر %2 المتبقية."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","ليس لدينا ""%1"" بالكمية المطلوبة، حيث أننا سوف نعيد أمر %2 المتبقية."
You can buy %1 only in quantities of %2 at a time.,يمكنك شراء %1 بكميات فقط من %2 في وقت واحد.
You can buy this product only in quantities of %1 at a time.,يمكنك الشراء من هذا المنتج فقط بكميات من %1 في وقت واحد.
Quantity increments can't use decimals. Enter a new increment and try again.,Quantity increments can't use decimals. Enter a new increment and try again.
Stock Status,حالة المخزن
Quantity,الكمية
Advanced Inventory,المخزون المتقدم
%1 is available to buy in increments of %2,%1 متاحة للشراء بزيادة بالمقدار %2
Only %1 left,متوفر %1 فقط
Product availability,توافر المنتج
Product Name,اسم المنتج
Qty,الكميّة
Inventory Section,قسم المخزن
Inventory,المخزون
Stock Options,خيارات المخزون
Decrease Stock When Order is Placed,ازل من المخزون عند استلام الطلب الجديد
Set Items' Status to be In Stock When Order is Cancelled,ضع العناصر في حالة مخزون عندما يتم إلغاء الطلب
Display Out of Stock Products,عرض المنتجات الغير متوفرة بالمخزن
Products will still be shown by direct product URLs.,سوف يستمر عرض المنتجات بالرابط المباشر URL للمنتج.
Only X left Threshold,المتبقي فقط هو الحد
Display Products Availability in Stock on Storefront,إعرض المنتجات المتوفرة في المخزن على واجهة المتجر
Product Stock Options,خيارات المنتج المخزون
"Please note that these settings apply to individual items in the cart, not to the entire cart.",الرجاء ملاحظة أن سيتم تطبيق هذه الإعدادات على العناصر الفردية في السلة, لا محتويات السلة كاملة.,,,,
Manage Stock,إدارة المخزون
Backorders,طلبات لمنتجات غير متوفرة
Maximum Qty Allowed in Shopping Cart,الكمية القصوى المسموح بها في سلة التسوق
Out-of-Stock Threshold,حدود انتهاء المخزون
Minimum Qty Allowed in Shopping Cart,الكمية الدنيا المسموح بها في سلة التسوق
Notify for Quantity Below,اخطار لكمية ادناه
Automatically Return Credit Memo Item to Stock,إعادة مذكرة بطاقة الائتمان تلقائياً المخزن
Enable Qty Increments,تمكين زيادة الكميات
Qty Increments,زيادة الكميات
Stock,المخزون
Index stock,مؤشر المخزون
Use Config Settings,استخدام اعداد الاعدادات
Qty Uses Decimals,كمية تستخدم ارقام عشرية
Allow Multiple Boxes for Shipping,السماح بصناديق متعددة للشحن
New Permission,إذن جديد
You already have a permission with this scope.,لديك بالفعل إذن مع هذا النطاق.
(Allow),(سماح)
(Deny),(منع)
Category Permissions,أذونات الفئة
Browsing Category,تصفح القسم
Display Product Prices,عرض أسعار المنتجات
Add to Cart,أضف لسلة التسوق
"Yes, for Everyone",نعم, بالنسبة للجميع,,,,
"Yes, for Specified Customer Groups",نعم, بالنسبة لمجموعات العميل المحددة,,,,
No,لا
"No, Redirect to Landing Page",لا, إعادة توجيه إلى الصفحة المقصودة,,,,
Permission with the same scope,سماح بنفس النطاق
You may need more permissions to access this category.,قد تحتاج إلى مزيد من الصلاحيات للوصول إلى هذه الفئة.
You may need more permissions to access this product.,قد تحتاج إلى مزيد من الصلاحيات للوصول إلى هذا المنتج.
"You cannot add ""%1"" to the cart.","لا يمكنك إضافة ""%1"" إلى السلة."
Permissions do not depend on store views.,لا تعتمد الصلاحيات على واجهة المخزن.
Website,الموقع
Customer Group,مجموعات العملاء
Action,إجراء
-- Please Select --,--الرجاء الاختيار-
All Websites,جميع المواقع
All Customer Groups,جميع مجموعات العملاء
Allow,سماح
Deny,رفض
Use parent,استخدام الأصل
Category Permissions Section,قسم صلاحيات الفئة
Enable,تفعيل
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red""> تحذير!</strong> بشكل افتراضي هذه الميزة تقييد جميع الفئات."
Allow Browsing Category,السماح بتصفح الفئة
Customer Groups,مجموعات العملاء
Landing Page,صفحة النزول
Allow Adding to Cart,السماح بالإضافة للسلة
Disallow Catalog Search By,عدم السماح بالبحث في الكتلوج حسب
Catalog Category Permissions,صلاحيات فئة الكتالوج
Indexed permissions for categories,صلاحيات الفهرسة للفئات
Catalog Product Permissions,صلاحيات كتالوج المنتج
Indexed permissions for products,صلاحيات الفهرسة للمنتجات
Delete Rule,حذف قاعدة
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Reset,اعادة ضبط
Save and Apply,احفظ و طبق
Save and Continue Edit,حفظ ومواصلة التعديل
Save,حفظ
Catalog Price Rule,قاعدة الاسعار فى دليل المنتجات
Add New Rule,إضافة قاعدة جديدة
Apply Rules,طبق القواعد
Conditions,الحالات
Conditions (don't add conditions if rule is applied to all products),الشروط (عدم إضافة شروط إذا كان يتم تطبيق القاعدة على كافة المنتجات)
ID,التعريف
Type,النوع
Attribute Set,مجموعة السمة
SKU,SKU
Product,المنتج
Promotions,العروض
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","ووجدنا تحديث للقواعد التي لم يتم تطبيقها. الرجاء النقر فوق ""تطبيق القواعد"" لتحديث الكتالوج."
We can't apply the rules.,لا يمكن تطبيق هذه القواعد.
You deleted the rule.,قمت بحذف القاعدة.
We can't delete this rule right now. Please review the log and try again.,لا يمكن حذف هذه القاعدة الآن. الرجاء مراجعة السجل وحاول مرة أخرى.
We can't find a rule to delete.,لا يمكن أن نجد قاعدة للحذف.
This rule no longer exists.,هذة القاعدة لم تعد موجودة.
New Catalog Price Rule,قاعدة جديدة لسعر الكتالوج
Edit Rule,تعديل قاعدة
New Rule,قاعدة جديدة
Catalog,دليل المنتجات
